open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682675280000,22.424,22.44,22.409,22.412,21894,1682675459999,491011.957,842,8745,196146.323,0
1682675460000,22.413,22.45,22.412,22.442,11604,1682675639999,260274.562,621,7394,165836.399,0
1682675640000,22.44,22.443,22.378,22.388,29656,1682675819999,664396.634,1027,12076,270471.643,0
1682675820000,22.387,22.415,22.378,22.383,17311,1682675999999,387733.97,766,8796,197019.924,0
1682676000000,22.383,22.446,22.37,22.399,47070,1682676179999,1054572.085,1872,24984,559787.515,0
1682676180000,22.398,22.442,22.398,22.411,29330,1682676359999,657754.631,1088,14972,335777.289,0
1682676360000,22.41,22.41,22.375,22.393,25683,1682676539999,575002.055,1045,13486,301922.624,0
1682676540000,22.392,22.432,22.387,22.431,22234,1682676719999,498185.441,906,10659,238838.544,0
1682676720000,22.432,22.435,22.408,22.422,16545,1682676899999,370986.247,629,7993,179213.719,0
1682676900000,22.421,22.456,22.412,22.441,29179,1682677079999,654664.279,931,16499,370181.942,0
1682677080000,22.441,22.474,22.436,22.472,32575,1682677259999,731639.232,1113,18448,414341.997,0
1682677260000,22.473,22.485,22.452,22.465,27248,1682677439999,612271.05,1016,16522,371264.46,0
1682677440000,22.467,22.515,22.463,22.509,36349,1682677619999,817637.239,1520,21411,481581.794,0
1682677620000,22.508,22.517,22.486,22.487,27799,1682677799999,625531.483,973,10911,245535.659,0
1682677800000,22.487,22.499,22.483,22.485,20973,1682677979999,471727.253,873,13116,295013.685,0
1682677980000,22.485,22.55,22.465,22.54,54443,1682678159999,1225684.579,1974,36212,815412.193,0
1682678160000,22.54,22.584,22.537,22.572,77675,1682678339999,1752597.749,2577,41223,930160.953,0
1682678340000,22.572,22.667,22.572,22.602,154473,1682678519999,3494837.432,5361,79677,1802644.213,0
1682678520000,22.602,22.645,22.6,22.623,60334,1682678699999,1365057.648,2068,29058,657448.813,0
1682678700000,22.622,22.644,22.617,22.627,52836,1682678879999,1195707.585,1997,25051,566912.825,0
1682678880000,22.626,22.798,22.623,22.746,243681,1682679059999,5540792.709,8597,153421,3487857.114,0
1682679060000,22.746,22.866,22.733,22.795,179213,1682679239999,4085531.906,7015,106524,2428770.915,0
1682679240000,22.794,22.796,22.743,22.751,79369,1682679419999,1806916.726,3971,35098,799020.75,0
1682679420000,22.752,22.758,22.682,22.688,82137,1682679599999,1866123.629,3254,34341,780339.383,0
1682679600000,22.688,22.747,22.685,22.721,93802,1682679779999,2131205.521,3394,57038,1295871.622,0
1682679780000,22.721,22.721,22.66,22.686,67561,1682679959999,1532571.626,2667,31004,703306.62,0
1682679960000,22.686,22.696,22.667,22.676,27025,1682680139999,613021.151,1135,14655,332440.353,0
1682680140000,22.676,22.676,22.64,22.64,50262,1682680319999,1138726.38,1965,21981,498016.418,0
1682680320000,22.641,22.673,22.634,22.673,35393,1682680499999,801686.423,1489,22204,502967.111,0
1682680500000,22.672,22.672,22.602,22.628,57953,1682680679999,1311043.112,2210,24218,547868.218,0
1682680680000,22.629,22.632,22.58,22.591,73811,1682680859999,1668457.79,2291,25888,585213.61,0
1682680860000,22.591,22.634,22.59,22.625,36301,1682681039999,821074.386,1360,24664,557851.229,0
1682681040000,22.624,22.696,22.624,22.681,63027,1682681219999,1428356.085,2327,41102,931382.002,0
1682681220000,22.682,22.682,22.622,22.626,30285,1682681399999,685949.041,1256,14031,317768.798,0
1682681400000,22.625,22.633,22.607,22.613,23003,1682681579999,520327.204,982,10646,240812.295,0
1682681580000,22.613,22.618,22.583,22.613,32851,1682681759999,742321.344,1361,16637,375947.186,0
1682681760000,22.614,22.616,22.54,22.556,75294,1682681939999,1698938.251,2461,32748,738914.415,0
1682681940000,22.557,22.571,22.539,22.545,40805,1682682119999,920366.994,1377,17911,404019.703,0
1682682120000,22.546,22.577,22.545,22.56,28485,1682682299999,642699.492,1183,15911,358988.987,0
1682682300000,22.562,22.565,22.503,22.511,74488,1682682479999,1678404.784,2847,32978,743155.294,0
1682682480000,22.51,22.511,22.454,22.463,114222,1682682659999,2568076.218,3066,39775,894221.966,0
1682682660000,22.463,22.555,22.416,22.545,118789,1682682839999,2671741.268,3944,71674,1612266.391,0
1682682840000,22.545,22.56,22.505,22.509,62063,1682683019999,1398561.91,2060,28843,650008.071,0
1682683020000,22.509,22.527,22.479,22.479,38456,1682683199999,865296.362,1381,18268,411094.136,0
1682683200000,22.478,22.486,22.406,22.455,110130,1682683379999,2472350.321,3623,50732,1139077.773,0
1682683380000,22.455,22.509,22.454,22.509,58789,1682683559999,1321893.054,2030,31372,705471.174,0
1682683560000,22.508,22.558,22.495,22.549,49319,1682683739999,1111435.917,1847,31811,716940.909,0
1682683740000,22.549,22.673,22.549,22.609,117967,1682683919999,2668396.74,4126,69054,1561781.165,0
1682683920000,22.608,22.637,22.583,22.623,55177,1682684099999,1247436.335,2238,26887,607929.442,0
1682684100000,22.623,22.663,22.614,22.63,60841,1682684279999,1377302.757,2067,28906,654326.559,0
1682684280000,22.63,22.655,22.599,22.622,41629,1682684459999,941913.515,1783,20272,458715.122,0
1682684460000,22.621,22.647,22.608,22.634,35352,1682684639999,799996.381,1460,21700,491084.563,0
1682684640000,22.633,22.663,22.618,22.64,54845,1682684819999,1241823.776,1895,33055,748476.811,0
1682684820000,22.637,22.662,22.629,22.641,25572,1682684999999,579163.754,1232,12270,277896.843,0
1682685000000,22.64,22.743,22.541,22.674,205886,1682685179999,4666206.363,8083,106139,2406240.628,0
1682685180000,22.674,22.695,22.543,22.622,107153,1682685359999,2422447.363,4206,50570,1143340.613,0
1682685360000,22.624,22.68,22.617,22.654,41370,1682685539999,936783.308,1842,23981,543025.707,0
1682685540000,22.655,22.655,22.582,22.597,45909,1682685719999,1038240.726,1781,18136,410136.023,0
1682685720000,22.596,22.643,22.596,22.61,43880,1682685899999,992482.686,1560,20498,463624.513,0
1682685900000,22.61,22.615,22.521,22.533,59957,1682686079999,1352676.852,2351,25237,569319.897,0
1682686080000,22.534,22.564,22.458,22.515,103008,1682686259999,2318072.918,3712,45377,1021270.167,0
1682686260000,22.515,22.577,22.515,22.573,44972,1682686439999,1013954.63,1837,25917,584307.873,0
1682686440000,22.572,22.578,22.5,22.51,42927,1682686619999,967387.101,1658,18969,427526.606,0
1682686620000,22.511,22.519,22.479,22.509,50465,1682686799999,1135297.779,1829,25997,584840.432,0
1682686800000,22.508,22.577,22.47,22.564,61530,1682686979999,1386482.029,2326,32360,729196.409,0
1682686980000,22.563,22.609,22.546,22.593,53400,1682687159999,1205837.179,1885,28372,640652.324,0
1682687160000,22.593,22.606,22.554,22.566,31461,1682687339999,710486.914,1192,12707,286945.89,0
1682687340000,22.566,22.59,22.552,22.568,34480,1682687519999,778110.474,1249,19155,432271.197,0
1682687520000,22.568,22.581,22.529,22.578,38379,1682687699999,865461.623,1436,18635,420260.122,0
1682687700000,22.577,22.594,22.542,22.562,32870,1682687879999,741974.937,1319,16755,378218.145,0
1682687880000,22.563,22.614,22.554,22.556,40547,1682688059999,915866.197,1598,22548,509338.284,0
1682688060000,22.556,22.576,22.534,22.535,31083,1682688239999,700887.362,1239,16021,361269.752,0
1682688240000,22.537,22.608,22.534,22.6,36723,1682688419999,828803.923,1475,19150,432228.905,0
1682688420000,22.599,22.625,22.586,22.594,36189,1682688599999,817948.894,1459,16222,366672.537,0
1682688600000,22.594,22.63,22.555,22.578,85694,1682688779999,1936208.716,2533,49251,1112895.433,0
1682688780000,22.577,22.577,22.484,22.542,63764,1682688959999,1436221.279,2554,34177,769774.113,0
1682688960000,22.54,22.547,22.504,22.525,38416,1682689139999,865391.698,1627,18369,413802.757,0
1682689140000,22.524,22.532,22.217,22.255,273504,1682689319999,6117911.659,9210,93788,2098993.266,0
1682689320000,22.253,22.347,22.15,22.28,324001,1682689499999,7216897.671,11619,163656,3646551.639,0
1682689500000,22.281,22.369,22.241,22.361,223835,1682689679999,4992916.264,7653,132365,2953098.608,0
1682689680000,22.362,22.381,22.28,22.292,119126,1682689859999,2659782.195,4747,60914,1360119.379,0
1682689860000,22.291,22.331,22.263,22.297,84883,1682690039999,1892396.775,3458,38699,862800.355,0
1682690040000,22.296,22.33,22.271,22.302,85740,1682690219999,1912223.571,3143,45308,1010576.854,0
1682690220000,22.302,22.379,22.293,22.365,107556,1682690399999,2403245.533,3485,59123,1321378.588,0
